,link,price,beds,baths,sqft,parking_features,parking_total,garage_type,garage_spaces,hot_water_desc,fireplace_yn,fireplace_total,basement,roof,lot_size_sqft,lot_size,property_type,main_level_area,view_yn,yr_built,fuel_desc,sewer,cooling_yn,has_hoa,senior_community_yn,stories,style,yr_renovated,county,new_construction_yn
15988 White Oaks Dr,https://www.redfin.com/OR/Lake-Oswego/15988-White-Oaks-Dr-97035/home/26038327,"$1,109,000",4,2.5,"2,761","Driveway, On Street",2,Attached,2,Gas,Yes,1,,Composition,"7,840","8,013 square feet",Residential,"1,751",Yes,1988,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
12 Cervantes Cir,https://www.redfin.com/OR/Lake-Oswego/12-Cervantes-Cir-97035/home/25763801,"$285,000",2,1.5,912,Secured,1,Other,1,Other,Yes,1,,,,—,Residential,456,Yes,—,Gas,Public Sewer,No,Yes,No,—,Single Family Residential,—,Clackamas County,No
12 Cervantes Cir Unit 7A,https://www.redfin.com/OR/Lake-Oswego/12-Cervantes-Cir-97035/unit-7A/home/26633869,"$261,249",2,1.5,912,,,,,,,,,,,—,,,,1980,,,,,,2.0,Condo/Co-op,1980,Multnomah County,
206 Oswego Summit Bld25,https://www.redfin.com/OR/Lake-Oswego/206-Oswego-Smt-97035/unit-25/home/25795130,"$420,000",2,2,"1,550",Deeded,1,Deeded,1,Electricity,Yes,1,,Tile,,—,Residential,"1,550",Yes,1981,Electricity,"Commons, Exterior Maintenance, Insurance, Management, Pool, Recreation Facilities, Sewer, Trash, Water",Yes,Yes,No,1.0,Condo/Co-op,1981,Multnomah County,No
4513 Oakridge Rd,https://www.redfin.com/OR/Lake-Oswego/4513-Oakridge-Rd-97035/home/26093610,"$775,000",3,2.5,"1,974",On Street,2,"Attached, Extra Deep",2,"ENERGY STAR Qualified Equipment, Gas",Yes,1,Crawl Space,Composition,,"2,370 square feet",Residential,915,Yes,2011,Gas,Public Sewer,Yes,Yes,No,—,Single Family Residential,—,Clackamas County,No
4511 Oakridge Rd,https://www.redfin.com/OR/Lake-Oswego/4511-Oakridge-Rd-97035/home/26093609,"$875,000",3,2.5,"2,129",On Street,2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"2,613","2,785 square feet",Residential,"1,000",Yes,2011,Gas,Public Sewer,Yes,Yes,No,—,Single Family Residential,—,Clackamas County,No
48 Eagle Crest Dr Unit 4E,https://www.redfin.com/OR/Lake-Oswego/48-Eagle-Crest-Dr-97035/unit-4E/home/25736509,"$365,000",2,2,"1,489","Off Street, On Street",1,Other,1,Electricity,,,Crawl Space,Composition,,—,Residential,"1,489",Yes,1979,Electricity,"Athletic Court, Commons, Gym, Insurance, Maintenance Grounds, Management, Pool, Sauna, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",No,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
19250 SW Maree Ct,https://www.redfin.com/OR/Lake-Oswego/19250-Maree-Ct-97035/home/25770405,"$699,030",3,2.5,"1,519","Driveway, On Street",2,Attached,2,Electricity,Yes,1,Crawl Space,Composition,"10,890",0.25 acres,Residential,"1,519",No,1975,"Electricity, Gas",Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
14309 Edenberry Dr,https://www.redfin.com/OR/Lake-Oswego/14309-Edenberry-Dr-97035/home/26031555,"$1,150,000",5,2.5,"3,011",Off Street,3,"Attached, Oversized",3,Gas,Yes,2,Crawl Space,Composition,,"9,243 square feet",Residential,"1,512",No,1988,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
18572 Longfellow Ave,https://www.redfin.com/OR/Lake-Oswego/18572-Longfellow-Ave-97035/home/25980335,"$600,000",3,2,"1,611","Driveway, RV Access/Parking",1,"Attached, Partially Converted to Living Space",1,Electricity,Yes,1,Crawl Space,"Composition, Shingle","10,454","10,689 square feet",Residential,"1,611",Yes,1967,Electricity,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
60 Condolea Ter,https://www.redfin.com/OR/Lake-Oswego/60-Condolea-Ter-97035/home/26473890,"$391,610",2,3,"2,784","Off Street, Parking Pad",2,Attached,2,Electricity,Yes,3,"Crawl Space, Finished, Storage Space","Composition, Shingle",,—,Residential,"1,416",Yes,1972,Gas,Public Sewer,No,Yes,Yes,2.0,Condo/Co-op,1972,Multnomah County,No
44 Eagle Crest Dr #28,https://www.redfin.com/OR/Lake-Oswego/44-Eagle-Crest-Dr-97035/unit-28/home/25857556,"$300,000",3,2,"1,085","Deeded, Parking Pad",,Deeded,,Electricity,Yes,1,Crawl Space,Tile,,—,Residential,"1,085",Yes,1979,Electricity,"All Landscaping, Athletic Court, Commons, Exterior Maintenance, Front Yard Landscaping, Gym, Maintenance Grounds, Management, Meeting Room, Pool, Racquetball, Sauna, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
44 Eagle Crest Dr #21,https://www.redfin.com/OR/Lake-Oswego/44-Eagle-Crest-Dr-97035/unit-21/home/25841434,"$220,000",1,1,798,Deeded,,Other,,Electricity,Yes,1,Crawl Space,Tile,,—,Residential,798,Yes,1979,Electricity,"Athletic Court, Basketball Court, Commons, Exterior Maintenance, Lap Pool, Maintenance Grounds, Management, Pool, Recreation Facilities, Sewer, Tennis Court(s), Trash, Water",No,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
3962 Carman Dr,https://www.redfin.com/OR/Lake-Oswego/3962-Carman-Dr-97035/home/25750466,"$368,000",2,2.5,"1,129",Driveway,1,Attached,1,Electricity,Yes,1,Crawl Space,Composition,,—,Residential,563,Yes,1997,Electricity,"Commons, Exterior Maintenance, Management, Sewer, Water",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4 Touchstone #103,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-103/home/26043633,"$287,500",3,2.5,"1,351","Carport, Parking Pad",,None,,Electricity,,,"Finished, Partial Basement",Composition,,—,Residential,675,Yes,1970,Electricity,"Commons, Exterior Maintenance, Gym, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Road Maintenance, Sewer, Trash, Water",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
3485 Upper Dr,https://www.redfin.com/OR/Lake-Oswego/3485-Upper-Dr-97035/home/26078484,"$1,500,000",4,2.5,"3,334",Driveway,2,"Attached, Oversized",2,Gas,Yes,1,Crawl Space,Composition,,0.3 acres,Residential,"2,000",Yes,2006,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
2736 SW Sylvania Ter,https://www.redfin.com/OR/Portland/2736-SW-Sylvania-Ter-97219/home/26331980,"$612,720",3,2,"1,918",,,,,,,,,,,0.34 acres,,,,1958,,,,,,1.0,Single Family Residential,1958,Multnomah County,
8 Pimlico Ter,https://www.redfin.com/OR/Lake-Oswego/8-Pimlico-Ter-97035/home/26016247,"$949,000",5,3,"3,120",,2,Attached,2,Electricity,Yes,2,"Daylight, Finished, Full Basement",Composition,,"9,164 square feet",Residential,"1,560",Yes,1969,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
3434 Lakeview Blvd,https://www.redfin.com/OR/Lake-Oswego/3434-Lakeview-Blvd-97035/home/25908660,"$6,300,000",5,6.5,"7,656","Driveway, On Street",2,"Attached, Oversized",2,"Gas, Tankless",Yes,4,"Daylight, Finished",Other,"10,454","10,667 square feet",Residential,"2,255",Yes,2003,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
2855 Brookside Rd,https://www.redfin.com/OR/Lake-Oswego/2855-Brookside-Rd-97035/home/26067983,"$1,575,000",4,2.5,"4,046","Carport, Driveway",4,Carport,4,Gas,Yes,2,Crawl Space,"Composition, Metal","22,215",0.51 acres,Residential,"2,536",Yes,1978,Gas,Public Sewer,Yes,,No,2.0,Single Family Residential,—,Clackamas County,No
205 Cervantes,https://www.redfin.com/OR/Lake-Oswego/205-Cervantes-97035/home/25737808,"$327,000",2,1.5,"1,216","Off Street, On Street",1,Undeeded,1,Electricity,Yes,1,,"Composition, Membrane",,—,Residential,604,Yes,1981,Electricity,"Basketball Court, Commons, Gym, Insurance, Management, Pool, Recreation Facilities, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1981,Multnomah County,No
18850 Reao Ct,https://www.redfin.com/OR/Lake-Oswego/18850-Reao-Ct-97035/home/110152331,"$1,850,000",4,3.5,"3,512","Driveway, On Street",2,"Attached, Oversized",2,Tankless,Yes,1,Crawl Space,"Composition, Metal","11,761",0.27 acres,Residential,"2,144",No,2021,Gas,Public Sewer,Yes,,No,—,Single Family Residential,—,Clackamas County,No
54 Aquinas St,https://www.redfin.com/OR/Lake-Oswego/54-Aquinas-St-97035/home/26659465,"$850,000",4,2.5,"2,774","Driveway, On Street",2,"Attached, Oversized, Tuck-Under",2,Electricity,Yes,2,Crawl Space,Composition,,"2,310 square feet",Residential,"1,387",Yes,1982,"Electricity, Gas",Public Sewer,Yes,Yes,No,2.0,Single Family Residential,1982,Multnomah County,No
4587 Trillium Woods,https://www.redfin.com/OR/Lake-Oswego/4587-Trillium-Woods-97035/home/26093586,"$950,000",3,2.5,"2,278","Driveway, On Street",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"2,613","2,808 square feet",Residential,935,Yes,2011,Gas,Public Sewer,Yes,Yes,No,—,Single Family Residential,—,Clackamas County,No
4 Touchstone #133,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-133/home/26057637,"$275,000",2,2,984,Carport,,Other,,Electricity,,,,Composition,,—,Residential,734,No,1970,Electricity,"Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
47 Eagle Crest Dr #42,https://www.redfin.com/OR/Lake-Oswego/47-Eagle-Crest-Dr-97035/unit-42/home/25764161,"$230,000",2,1,932,Off Street,,Undeeded,,Electricity,Yes,1,,Composition,,—,Residential,932,Yes,1979,Electricity,"Athletic Court, Commons, Exterior Maintenance, Gym, Pool, Sewer, Tennis Court(s), Trash, Water, Weight Room",No,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
71 Condolea Way,https://www.redfin.com/OR/Lake-Oswego/71-Condolea-Way-97035/home/26610706,"$625,000",3,3,"2,131",Off Street,2,None,2,Electricity,Yes,1,,Composition,,—,Residential,"1,576",Yes,1979,Electricity,Public Sewer,Yes,Yes,Yes,2.0,Condo/Co-op,1979,Multnomah County,No
124 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/124-Oswego-Smt-97035/home/26580406,"$265,000",2,2,"1,140",Off Street,1,Attached,1,Electricity,Yes,1,,"Other, Tile",,—,Residential,570,Yes,1978,Electricity,"All Landscaping, Athletic Court, Commons, Exterior Maintenance, Gym, Insurance, Management, Pool, Recreation Facilities, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1978,Multnomah County,No
45 Eagle Crest Dr #313,https://www.redfin.com/OR/Lake-Oswego/45-Eagle-Crest-Dr-97035/unit-313/home/26301507,"$244,900",2,2,"1,056","Carport, Covered",,Other,,Other,,,Daylight,Flat,,—,Residential,"1,056",Yes,1971,Electricity,Public Sewer,Yes,Yes,No,1.0,Condo/Co-op,1971,Multnomah County,No
4 Touchstone #63,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-63/home/25795589,"$310,000",2,2,974,"Carport, Off Street",,Other,,"ENERGY STAR Qualified Equipment, Tank",,,,Composition,,—,Residential,688,Yes,1970,Electricity,"All Landscaping, Commons, Gym, Pool, Sewer, Trash, Water",Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
12535 SW Boones Ferry Rd,https://www.redfin.com/OR/Lake-Oswego/12535-Boones-Ferry-Rd-97035/home/26554520,"$503,000",3,2,"1,829",Driveway,,,,"Gas, Tank",Yes,1,"Exterior Entry, Full Basement",Composition,"9,147","9,018 square feet",Residential,965,No,1941,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,1941,Multnomah County,No
4316 Botticelli St,https://www.redfin.com/OR/Lake-Oswego/4316-Botticelli-St-97035/home/25845400,"$450,000",2,2.5,"2,260","Driveway, On Street",1,Attached,1,Electricity,,,"Daylight, Finished, Full Basement",Composition,,—,Residential,792,Yes,1977,Electricity,Public Sewer,Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
45 Eagle Crest Dr #506,https://www.redfin.com/OR/Lake-Oswego/45-Eagle-Crest-Dr-97035/unit-506/home/26593636,"$225,000",1,1,600,Carport,,Deeded,,Electricity,,,Other,Flat,,—,Residential,600,Yes,1971,Electricity,"Commons, Exterior Maintenance, Gym, Insurance, Laundry, Meeting Room, Pool, Sauna, Sewer, Water",No,Yes,No,1.0,Condo/Co-op,1971,Multnomah County,No
4291 Woodside Cir,https://www.redfin.com/OR/Lake-Oswego/4291-Woodside-Cir-97035/home/26011471,"$610,000",3,2,"2,026",Driveway,2,"Detached, Oversized",2,"Electricity, Tank",Yes,1,Crawl Space,Composition,,"2,160 square feet",Residential,"1,260",Yes,1974,Gas,Public Sewer,No,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
17975 Belmore Ave,https://www.redfin.com/OR/Lake-Oswego/17975-Belmore-Ave-97035/home/25791421,"$490,000",3,1,"1,012",Driveway,2,"Attached, Oversized",2,Gas,,,Crawl Space,Composition,,"10,000 square feet",Residential,"1,012",Yes,1963,Gas,Septic Tank,No,,No,1.0,Single Family Residential,—,Clackamas County,No
16861 Cortez Ct,https://www.redfin.com/OR/Lake-Oswego/16861-Cortez-Ct-97035/home/25995939,"$810,000",3,2,"1,886","Driveway, On Street",2,Attached,2,Gas,Yes,1,,Composition,"10,018","10,112 square feet",Residential,"1,886",No,1971,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
8 Britten Ct,https://www.redfin.com/OR/Lake-Oswego/8-Britten-Ct-97035/home/25822316,"$520,000",2,2,"1,175",Driveway,2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"3,049","2,850 square feet",Residential,"1,175",Yes,1971,"Electricity, Gas",Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
44 Eagle Crest Dr #13,https://www.redfin.com/OR/Lake-Oswego/44-Eagle-Crest-Dr-97035/unit-13/home/26503179,"$299,000",3,2,"1,085","Deeded, Parking Pad",,Deeded,,Electricity,Yes,1,Crawl Space,Tile,,—,Residential,"1,085",Yes,1979,Electricity,"All Landscaping, Athletic Court, Commons, Exterior Maintenance, Front Yard Landscaping, Gym, Maintenance Grounds, Management, Pool, Racquetball, Recreation Facilities, Sauna, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",No,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
3433 Mcnary Pkwy #805,https://www.redfin.com/OR/Lake-Oswego/3433-McNary-Pkwy-97035/unit-805/home/25838636,"$344,000",2,2.5,"1,136",,2,Attached,2,Electricity,Yes,1,Storage Space,Tile,,—,Residential,535,Yes,1994,Electricity,"All Landscaping, Exterior Maintenance, Insurance, Maintenance Grounds, Management, Sewer, Trash, Water",No,Yes,No,2.0,Condo/Co-op,1994,Multnomah County,No
3433 Mcnary Pkwy #505,https://www.redfin.com/OR/Lake-Oswego/3433-McNary-Pkwy-97035/unit-505/home/26560899,"$360,000",2,2.5,"1,608",Off Street,2,Attached,2,Electricity,Yes,1,,Composition,,—,Residential,604,Yes,1994,Electricity,Public Sewer,No,Yes,No,2.0,Condo/Co-op,1994,Multnomah County,No
120 Kingsgate Rd,https://www.redfin.com/OR/Lake-Oswego/120-Kingsgate-Rd-97035/home/26020217,"$715,000",3,2.5,"1,699",,2,Attached,2,Gas,,,Crawl Space,Composition,"3,920","4,000 square feet",Residential,,No,1988,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
5936 Dove Ct,https://www.redfin.com/OR/Lake-Oswego/5936-Dove-Ct-97035/home/26058696,"$854,705",4,2,"1,980","Driveway, Off Street",2,Attached,2,,Yes,2,Crawl Space,Composition,,"8,547 square feet",Residential,"1,980",No,1988,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
46 Crestfield Ct,https://www.redfin.com/OR/Lake-Oswego/46-Crestfield-Ct-97035/home/26042585,"$305,000",2,1,923,Off Street,,Undeeded,,Electricity,,,,Composition,,—,Residential,923,No,1980,Electricity,Public Sewer,Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
47 Eagle Crest Dr #48,https://www.redfin.com/OR/Lake-Oswego/47-Eagle-Crest-Dr-97035/unit-48/home/28926210,"$225,000",1,1,696,Other,,Undeeded,,Electricity,,,,Composition,,—,Residential,696,Yes,—,Electricity,"All Landscaping, Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Sewer, Snow Removal, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
47 Eagle Crest Dr Unit 48C,https://www.redfin.com/OR/Lake-Oswego/47-Eagle-Crest-Dr-97035/unit-48C/home/25868421,"$228,460",1,1,696,,,,,,,,,,,—,,,,1979,,,,,,1.0,Condo/Co-op,1979,Multnomah County,
4312 Botticelli St,https://www.redfin.com/OR/Lake-Oswego/4312-Botticelli-St-97035/home/26033326,"$427,468",2,2.5,"2,285",,,,,,,,Finished,Clay Tile,,—,,,,1977,,,,,,—,Condo/Co-op,—,Clackamas County,
4312 Botticelli Bldg B St #8,https://www.redfin.com/OR/Lake-Grove/4312-Botticelli-Bldg-B-ST-97035/unit-8/home/192903500,"$467,500",2,2.5,"2,285","Deeded, Driveway",1,Attached,1,Electricity,Yes,1,Finished,Composition,,—,Residential,857,Yes,—,Electricity,Public Sewer,Yes,Yes,No,—,Townhouse,—,Clackamas County,No
5751 Washington Ct,https://www.redfin.com/OR/Lake-Oswego/5751-Washington-Ct-97035/home/25756134,"$849,087",4,2.5,"2,427",,,,,,,,,,,"7,405 square feet",,,,2023,,,,,,1.0,Single Family Residential,—,Clackamas County,
5759 Washington Ct,https://www.redfin.com/OR/Lake-Oswego/5759-SW-Washington-Ct-97035/home/193775104,"$1,195,000",4,2.5,"2,343",On Street,,Detached,,Gas,Yes,1,,Composition,"7,405",—,Residential,"1,231",No,—,Gas,Public Sewer,Yes,,No,—,Single Family Residential,—,Clackamas County,Yes
3096 Wembley Park Rd,https://www.redfin.com/OR/Lake-Oswego/3096-Wembley-Park-Rd-97034/home/113922946,"$2,000,000",5,4,"4,165","Driveway, On Street",3,"Attached, Tandem",3,Gas,Yes,1,Crawl Space,Metal,"14,374",0.33 acres,Residential,"1,730",Yes,2017,Gas,Public Sewer,Yes,,No,—,Single Family Residential,—,Clackamas County,No
4694 Winthrop Ct,https://www.redfin.com/OR/Lake-Oswego/4694-Winthrop-Ct-97035/home/25979480,"$990,000",4,2.5,"2,250",Driveway,2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"9,147","9,241 square feet",Residential,"1,300",No,1992,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
18521 Don Lee Way,https://www.redfin.com/OR/Lake-Oswego/18521-Don-Lee-Way-97035/home/26048331,"$599,999",3,2,994,"Driveway, On Street",1,Attached,1,"Gas, Tank",,,,Composition,"10,454","10,590 square feet",Residential,994,No,1964,Gas,Public Sewer,No,,No,1.0,Single Family Residential,—,Clackamas County,No
4 Touchstone #117,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-117/home/25970747,"$265,000",2,2,984,"Carport, Deeded",1,Other,1,Electricity,,,No,Composition,,—,Residential,984,No,1970,Electricity,Public Sewer,No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4322 Collins Way,https://www.redfin.com/OR/Lake-Oswego/4322-Collins-Way-97035/home/25944869,"$815,000",5,3,"2,112",Driveway,2,Attached,2,"Gas, Tank",Yes,1,Crawl Space,Metal,"7,840","7,800 square feet",Residential,"1,523",Yes,1972,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
39 Spinosa,https://www.redfin.com/OR/Lake-Oswego/39-Spinosa-97035/home/25765502,"$663,000",3,2.5,"2,069","Driveway, On Street",2,Attached,2,Gas,Yes,2,"Crawl Space, Storage Space",Composition,"5,662","5,769 square feet",Residential,"1,084",Yes,1985,Electricity,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,1985,Multnomah County,No
3876 Lake Grove Ave,https://www.redfin.com/OR/Lake-Oswego/3876-Lake-Grove-Ave-97035/home/173930906,"$2,395,000",5,3.5,"4,205",Driveway,3,Attached,3,Gas,Yes,1,Crawl Space,"Flat, Metal","12,632",0.29 acres,Residential,"3,189",No,2023,Gas,Public Sewer,Yes,,No,—,Single Family Residential,—,Clackamas County,Yes
82 Oswego,https://www.redfin.com/OR/Lake-Oswego/82-Oswego-Smt-97035/home/26665596,"$269,900",2,2,"1,212","Covered, Off Street",1,Attached,1,Electricity,Yes,1,,Tile,,—,Residential,612,Yes,1978,Electricity,Public Sewer,No,Yes,No,1.0,Condo/Co-op,1978,Multnomah County,No
16643 SW Roosevelt Ave,https://www.redfin.com/OR/Lake-Oswego/16643-Roosevelt-Ave-97035/home/25940280,"$525,000",4,2,"2,222","Driveway, Off Street",2,Detached,2,Electricity,Yes,1,Crawl Space,Composition,"32,234",0.74 acres,Residential,"2,222",Yes,1948,Electricity,Septic Tank,No,,No,1.0,Single Family Residential,—,Clackamas County,No
3837 Carman Dr,https://www.redfin.com/OR/Lake-Oswego/3837-Carman-Dr-97035/home/188638050,"$1,155,381",3,2.5,"2,531",Driveway,2,Attached,2,Electricity,Yes,1,,Composition,,"6,437 square feet",Residential,"1,009",No,—,Gas,Public Sewer,Yes,,No,—,Single Family Residential,—,Clackamas County,Yes
4401 Cobb Way,https://www.redfin.com/OR/Lake-Oswego/4401-Cobb-Way-97035/home/26051741,"$825,650",3,2,"1,620",,,,,,,,Finished,,,"8,214 square feet",,,,1965,,,,,,1.0,Single Family Residential,—,Clackamas County,
5050 Lower Dr,https://www.redfin.com/OR/Lake-Oswego/5050-Lower-Dr-97035/home/26029528,"$685,000",3,2.5,"1,278","Driveway, On Street",,,,"Gas, Tankless",,,Finished,Composition,,"5,073 square feet",Residential,945,Yes,1920,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
100 Kerr Pkwy #40,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-40/home/25844869,"$270,000",2,1.5,823,Off Street,1,Deeded,1,Electricity,,,,Composition,,—,Residential,683,Yes,1970,Electricity,"Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Insurance, Lap Pool, Maintenance Grounds, Management, Pool, Recreation Facilities, Sauna, Sewer, Spa/Hot Tub, Trash, Water",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
