,link,price,beds,baths,sqft,parking_total,garage_type,garage_spaces,hot_water_desc,fireplace_yn,fireplace_total,basement,roof,lot_size,property_type,main_level_area,view_yn,yr_built,fuel_desc,sewer,cooling_yn,senior_community_yn,stories,style,yr_renovated,county,new_construction_yn,parking_features,has_hoa,lot_size_sqft
23550 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23550-SW-Vermillion-Dr-97062/home/192750991,"$546,400",4,3.5,"1,975",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,741,No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
22085 SW Cole Ct,https://www.redfin.com/OR/Tualatin/22085-SW-Cole-Ct-97062/home/26659845,"$775,000",4,2.5,"2,707",2,Attached,2,"Gas, Recirculating",Yes,2,Crawl Space,Composition,"9,148 square feet",Residential,"2,707",No,1992,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,1992,Washington County,No,Driveway,,"9,147"
7171 SW Sagert St #105,https://www.redfin.com/OR/Tualatin/7171-SW-Sagert-St-97062/unit-105/home/26711326,"$326,000",2,2.5,"1,129",1,Attached,1,Electricity,,,,Composition,—,Residential,485,No,1996,Electricity,"Commons, Exterior Maintenance, Gym, Maintenance Grounds, Management, Meeting Room, Pool, Recreation Facilities, Sewer, Spa/Hot Tub, Trash, Water",No,No,—,Condo/Co-op,1996,Washington County,No,,Yes,
8720 SW Tualatin Rd #205,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-205/home/26711160,"$270,000",2,2,"1,022",1,Other,1,Electricity,Yes,1,,Flat,—,Residential,"1,022",Yes,1987,Electricity,"Commons, Exterior Maintenance, Insurance, Management, Pool, Sewer, Spa/Hot Tub, Trash, Water",No,No,—,Condo/Co-op,1987,Washington County,No,"Off Street, Secured",Yes,
8316 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8316-SW-Mohawk-St-97062/home/26729457,"$250,000",3,2,"1,112",,Deeded,,Electricity,Yes,1,,Composition,—,Residential,"1,112",Yes,1980,"Electricity, Wood Burning","All Landscaping, Cable TV, Commons, Exterior Maintenance, Front Yard Landscaping, Maintenance Grounds, Management, Meeting Room, Pool, Recreation Facilities, Road Maintenance, Sewer, Snow Removal, Trash, Water",No,No,—,Condo/Co-op,1985,Washington County,No,"Driveway, Parking Pad",Yes,
22830 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22830-SW-Mandan-Dr-97062/home/26681895,"$544,000",4,2.5,"1,748",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"7,841 square feet",Residential,874,No,1994,Gas,Public Sewer,Yes,No,—,Single Family Residential,1994,Washington County,No,"Driveway, On Street",,"7,840"
22795 SW 94th Ter,https://www.redfin.com/OR/Tualatin/22795-SW-94th-Ter-97062/home/26697824,"$565,000",3,2.5,"1,653",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"4,356 square feet",Residential,840,No,1995,Gas,Public Sewer,Yes,No,—,Single Family Residential,1995,Washington County,No,"Driveway, On Street",,"4,356"
8720 SW Tualatin Rd #323,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-323/home/26563812,"$275,000",2,2,"1,087",1,Deeded,1,Electricity,Yes,1,,,—,Residential,"1,087",Yes,1987,Electricity,"All Landscaping, Commons, Exterior Maintenance, Gas, Insurance, Maintenance Grounds, Management, Pool, Sewer, Spa/Hot Tub, Trash, Water",No,No,—,Condo/Co-op,1987,Washington County,No,"Covered, Off Street",Yes,
8720 SW Tualatin Rd #122,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-122/home/25837554,"$270,000",2,2,"1,022",1,Deeded,1,Electricity,Yes,1,,Built-Up,—,Residential,"1,022",Yes,1987,Electricity,"Commons, Exterior Maintenance, Insurance, Maintenance Grounds, Management, Pool, Sewer, Spa/Hot Tub, Trash, Water",No,No,—,Condo/Co-op,1987,Washington County,No,"Covered, Secured",Yes,
9730 SW Alabama St,https://www.redfin.com/OR/Tualatin/9730-SW-Alabama-St-97062/home/25786178,"$950,000",5,4,"3,765",3,"Attached, Oversized",3,Gas,Yes,1,Crawl Space,Composition,"6,098 square feet",Residential,"1,596",Yes,2007,Gas,Public Sewer,Yes,No,—,Single Family Residential,2007,Washington County,No,Driveway,,"6,098"
22442 SW Pinto Dr,https://www.redfin.com/OR/Tualatin/22442-SW-Pinto-Dr-97062/home/26672492,"$599,950",3,2.5,"2,074",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"7,841 square feet",Residential,"1,057",No,1988,Gas,Public Sewer,Yes,No,—,Single Family Residential,1988,Washington County,No,Driveway,,"7,840"
8865 SW Tutelo Ln,https://www.redfin.com/OR/Tualatin/8865-SW-Tutelo-Ln-97062/home/188818807,"$780,000",5,3,"2,741",2,Attached,2,Tankless,Yes,1,,Composition,"5,227 square feet",Residential,967,Yes,—,"Electricity, Gas",Public Sewer,Yes,No,—,Other,—,Washington County,Yes,Driveway,Yes,"5,227"
23440 SW Vermillion Dr Unit H117,https://www.redfin.com/OR/Tualatin/23440-SW-Vermillion-Dr-97062/unit-H117/home/194118290,"$479,900",3,2.5,"2,004",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,810,No,—,Gas,Public Sewer,Yes,No,—,Townhouse,—,Washington County,Yes,Driveway,Yes,
11063 SW Brown St,https://www.redfin.com/OR/Tualatin/11063-SW-Brown-St-97062/home/26715840,"$679,000",4,2.5,"2,686",2,"Attached, Carport",2,Gas,Yes,1,Crawl Space,Composition,"6,098 square feet",Residential,943,No,2005,Gas,Public Sewer,Yes,No,—,Single Family Residential,2005,Washington County,No,,Yes,"6,098"
8807 SW Chokecherry Ln Unit H299,https://www.redfin.com/OR/Tualatin/8807-SW-Choke-Cherry-97062/unit-H299/home/194118267,"$663,900",5,3,"2,610",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,467",No,—,Gas,Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8232 SW Tygh Loop,https://www.redfin.com/OR/Tualatin/8232-SW-Tygh-Loop-97062/home/26679658,"$540,000",3,2,"1,264",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"10,019 square feet",Residential,"1,264",Yes,1983,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,1995,Washington County,No,"Driveway, Off Street",,"10,018"
23499 SW Landon Pl,https://www.redfin.com/OR/Tualatin/23499-SW-Landon-PL-97062/home/191448838,"$834,700",5,3,"2,965",2,Extra Deep,2,Tankless,Yes,1,,Composition,—,Residential,"1,310",Yes,—,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8803 SW Peroria Ln,https://www.redfin.com/OR/Tualatin/8803-SW-Peoria-Ln-97062/home/192897129,"$646,400",4,2,"1,946",2,Attached,2,Tankless,Yes,1,Crawl Space,Composition,—,Residential,"1,946",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8805 SW SW Salinan St Unit H301,https://www.redfin.com/OR/Tualatin/8805-SW-Salinan-St-97062/unit-H301/home/194768450,"$653,400",4,2,"1,946",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,946",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8793 SW Iroquois Dr,https://www.redfin.com/OR/Tualatin/8793-SW-Iroquois-Dr-97062/home/26663198,"$699,900",4,3,"2,272",1,"Attached, Partially Converted to Living Space",1,Gas,Yes,1,Crawl Space,"Composition, Shingle","9,583 square feet",Residential,"1,700",No,1980,Gas,Public Sewer,Yes,No,—,Single Family Residential,1980,Washington County,No,"Driveway, On Street",,"9,583"
20388 SW Boones Ferry Rd,https://www.redfin.com/OR/Tualatin/20388-SW-Boones-Ferry-Rd-97062/home/25751064,"$485,000",3,2,"1,621",2,Attached,2,Gas,Yes,1,Crawl Space,"Composition, Shingle","7,405 square feet",Residential,"1,621",Yes,1975,Gas,Public Sewer,Yes,No,—,Single Family Residential,1978,Washington County,No,RV Access/Parking,,"7,405"
8980 SW Stono Dr,https://www.redfin.com/OR/Tualatin/8980-SW-Stono-Dr-97062/home/26614871,"$480,000",3,3,"1,697",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"4,356 square feet",Residential,"1,304",No,1996,Gas,Public Sewer,No,No,—,Single Family Residential,1996,Washington County,No,Driveway,,"4,356"
18253 SW 133rd Ter,https://www.redfin.com/OR/Tualatin/18253-SW-133rd-Ter-97062/home/26698106,"$560,000",3,2,"1,595",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"5,663 square feet",Residential,"1,595",No,1996,"Gas, Solar",Public Sewer,Yes,No,—,Single Family Residential,1996,Washington County,No,Driveway,,"5,662"
18638 SW 92nd Ter,https://www.redfin.com/OR/Tualatin/18638-SW-92nd-Ter-97062/home/26695604,"$430,000",3,2.5,"1,774",2,Attached,2,Gas,Yes,1,,Composition,"1,742 square feet",Residential,692,No,2002,Gas,Public Sewer,Yes,No,—,Single Family Residential,2020,Washington County,No,On Street,Yes,"1,742"
22185 SW Martinazzi Ave,https://www.redfin.com/OR/Tualatin/22185-SW-Martinazzi-Ave-97062/home/26712543,"$629,000",4,2.5,"2,145",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"8,712 square feet",Residential,"1,029",No,1993,Gas,Public Sewer,Yes,No,—,Single Family Residential,1993,Washington County,No,"Driveway, Off Street",,"8,712"
23360 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23360-SW-Vermillion-Dr-97062/home/193793142,"$479,900",3,2.5,"2,004",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"4,356 square feet",Residential,810,No,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,
21519 SW Umpqua Ct,https://www.redfin.com/OR/Tualatin/21519-SW-Umpqua-Ct-97062/home/26571946,"$596,803",3,2,"1,649",,,,,,,,Hip,"7,841 square feet",,,,1976,,,,,—,Single Family Residential,2006,Washington County,,,,
8720 SW Tualatin Rd #316,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-316/home/26585546,"$201,100",2,2,"1,038",1,Other,1,Electricity,Yes,1,,Composition,—,Residential,"1,038",No,1987,Electricity,Public Sewer,No,No,—,Condo/Co-op,1987,Washington County,No,,Yes,
7163 SW Sagert St #105,https://www.redfin.com/OR/Tualatin/7163-SW-Sagert-St-97062/unit-105/home/26731245,"$300,000",2,2.5,"1,129",1,Attached,1,"Electricity, Tank",,,Crawl Space,Composition,—,Residential,485,Yes,1996,Electricity,Public Sewer,No,No,—,Condo/Co-op,1996,Washington County,No,Driveway,Yes,
17850 SW Shasta,https://www.redfin.com/OR/Tualatin/17850-SW-Shasta-Trl-97062/home/26698480,"$571,000",3,2,"1,678",,,,,,,,,"7,841 square feet",,,,1972,,,,,—,Single Family Residential,1972,Washington County,,,,
6215 SW Prosperity Park Rd,https://www.redfin.com/OR/Tualatin/6215-SW-Prosperity-Park-Rd-97062/home/25925728,"$1,075,000",3,3,"3,278",2,Attached,2,Electricity,,,"Finished, Full Basement",Metal,2.27 acres,Residential,"2,026",Yes,1984,Electricity,"Septic Tank, Standard Septic",Yes,No,1.0,Single Family Residential,—,Clackamas County,No,"Driveway, RV Access/Parking",,"98,881"
9335 SW Quinault Ln,https://www.redfin.com/OR/Tualatin/9335-SW-Quinault-Ln-97062/home/26701978,"$571,000",3,2.5,"1,683",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"4,356 square feet",Residential,855,No,1996,Gas,Public Sewer,Yes,No,—,Single Family Residential,1996,Washington County,No,Driveway,,"4,356"
21090 SW 86th Ct,https://www.redfin.com/OR/Tualatin/21090-SW-86th-Ct-97062/home/26581255,"$724,000",3,2,"1,894",2,Attached,2,Gas,Yes,2,,Composition,"9,148 square feet",Residential,"1,894",No,1980,Gas,Public Sewer,Yes,No,—,Single Family Residential,1990,Washington County,No,"Driveway, RV Access/Parking",,"9,147"
19065 SW Tualasaum Dr,https://www.redfin.com/OR/Tualatin/19065-SW-Tualasaum-Dr-97062/home/25947980,"$471,000",2,1,884,,,,Electricity,,,Crawl Space,Composition,0.79 acres,Residential,884,Yes,1945,"Electricity, Gas",Septic Tank,No,No,1.0,Single Family Residential,—,Clackamas County,No,Driveway,,"34,412"
8830 SW Puyallup Ln,https://www.redfin.com/OR/Tualatin/8830-SW-Puyallup-Ln-97062/home/192221596,"$775,050",5,3,"3,068",2,Attached,2,Tankless,Yes,1,,Composition,—,Residential,"1,491",Yes,—,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
20275 SW Comanche Ter,https://www.redfin.com/OR/Tualatin/20275-SW-Comanche-Ter-97062/home/25825113,"$639,000",3,2,"1,988",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"6,970 square feet",Residential,"1,988",No,1995,Gas,Public Sewer,Yes,No,—,Single Family Residential,1995,Washington County,No,Driveway,,"6,969"
21415 SW 78th Ave,https://www.redfin.com/OR/Tualatin/21415-SW-78th-Ave-97062/home/26571738,"$884,000",3,3,"2,647",2,Detached,2,Propane,Yes,2,Crawl Space,Metal,1.04 acres,Residential,"2,647",No,1972,"Electricity, Propane",Septic Tank,Yes,No,—,Single Family Residential,2000,Washington County,No,"Parking Pad, RV Access/Parking",,"45,302"
23350 SW Vermillion Dr Unit H109,https://www.redfin.com/OR/Tualatin/23350-SW-Vermillion-Dr-97062/unit-H109/home/193183620,"$448,400",3,2.5,"1,722",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,662,Yes,—,Gas,Public Sewer,No,No,—,Townhouse,—,Washington County,Yes,,Yes,
11065 SW Oneida St,https://www.redfin.com/OR/Tualatin/11065-SW-Oneida-St-97062/home/26669463,"$755,000",4,2.5,"2,804",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"7,841 square feet",Residential,"1,357",Yes,2004,Gas,Public Sewer,Yes,No,—,Single Family Residential,2004,Washington County,No,Driveway,Yes,"7,840"
7137 SW Sagert St #102,https://www.redfin.com/OR/Tualatin/7137-SW-Sagert-St-97062/unit-102/home/26703521,"$315,000",2,2.5,"1,129",1,Attached,1,Electricity,,,,Composition,—,Residential,485,No,1996,Electricity,"All Landscaping, Cable TV, Commons, Gym, Meeting Room, Pool, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,No,—,Condo/Co-op,2018,Washington County,No,Driveway,Yes,
23330 SW Landon Pl Unit H150,https://www.redfin.com/OR/Tualatin/23330-SW-Landon-Pl-97062/unit-H150/home/192901325,"$589,900",4,2.5,"2,479",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,012",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
21565 SW Alsea Ct,https://www.redfin.com/OR/Tualatin/21565-SW-Alsea-Ct-97062/home/26716447,"$565,000",3,2,"1,538",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"8,712 square feet",Residential,"1,538",No,1976,Gas,Public Sewer,Yes,No,—,Single Family Residential,1991,Washington County,No,"Driveway, On Street",,"8,712"
8296 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8296-SW-Mohawk-St-97062/home/25817439,"$233,000",2,1,904,1,Attached,1,Electricity,Yes,1,,Composition,—,Residential,904,No,1980,Electricity,Public Sewer,No,No,—,Condo/Co-op,1985,Washington County,No,,Yes,
10303 SW Crow Way,https://www.redfin.com/OR/Tualatin/10303-SW-Crow-Way-97062/home/25765380,"$860,000",4,2.5,"3,406",4,Attached,4,"Electricity, Gas",Yes,1,Crawl Space,Composition,"7,405 square feet",Residential,"1,420",Yes,2006,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,2006,Washington County,No,Driveway,,"7,405"
8815 SW Nisqually Ct,https://www.redfin.com/OR/Tualatin/8815-SW-Nisqually-Ct-97062/home/26571771,"$630,000",4,3,"2,750",2,"Attached, Oversized",2,Electricity,Yes,2,,Composition,"7,405 square feet",Residential,,No,1973,Electricity,Public Sewer,Yes,No,—,Single Family Residential,1978,Washington County,No,"Carport, Driveway",,"7,405"
23370 NW Vermillion Unit H111,https://www.redfin.com/OR/Tualatin/23370-NW-Vermillion-97062/unit-H111/home/194109919,"$483,400",3,2.5,"2,004",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,810,No,—,Gas,Public Sewer,No,No,—,Townhouse,—,Washington County,Yes,Driveway,Yes,
23390 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23390-SW-Vermillion-Dr-97062/home/193793145,"$482,400",4,2.5,"1,999",2,Attached,2,"ENERGY STAR Qualified Equipment, Tankless",Yes,1,Crawl Space,Composition,"4,356 square feet",Residential,"1,191",No,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,
20052 SW 72nd Ave,https://www.redfin.com/OR/Tualatin/20052-SW-72nd-Ave-97062/home/26693583,"$496,250",3,2,"1,344",2,Attached,2,Electricity,Yes,1,,Composition,"10,454 square feet",Residential,"1,344",No,1986,"Electricity, Wood Burning",Public Sewer,Yes,No,—,Single Family Residential,1986,Washington County,No,"Driveway, On Street",,"10,454"
22500 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22500-SW-Mandan-Dr-97062/home/26666981,"$489,500",4,2.5,"1,725",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"9,583 square feet",Residential,725,No,1994,Gas,Public Sewer,Yes,No,—,Single Family Residential,1994,Washington County,No,Driveway,,"9,583"
11355 SW Kalispell St,https://www.redfin.com/OR/Tualatin/11355-SW-Kalispell-St-97062/home/26691415,"$580,000",4,2.5,"2,005",2,"Attached, Oversized",2,Gas,Yes,1,No,Composition,"4,791 square feet",Residential,987,No,1995,Gas,Public Sewer,Yes,No,—,Single Family Residential,2000,Washington County,No,"Driveway, On Street",Yes,"4,791"
19253 SW Chesapeake Dr,https://www.redfin.com/OR/Tualatin/19253-SW-Chesapeake-Dr-97062/home/25994672,"$705,000",3,2.5,"2,339",,,,,,,,,"7,396 square feet",,,,1988,,,,,2.0,Single Family Residential,—,Clackamas County,,,,
21012 SW Meadow Way,https://www.redfin.com/OR/Tualatin/21012-SW-Meadow-Way-97062/home/25948198,"$1,400,000",4,3,"4,094",2,"Attached, Oversized",2,Electricity,Yes,1,Yes,Other,1.84 acres,Residential,"2,000",Yes,1986,Electricity,Septic Tank,Yes,No,1.0,Single Family Residential,—,Clackamas County,No,"Driveway, RV Access/Parking",Yes,"80,150"
8468 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8468-SW-Mohawk-St-97062/home/26612470,"$232,000",2,1,904,,Deeded,,Electricity,Yes,1,,Shingle,—,Residential,904,No,1980,Electricity,"All Landscaping, Commons, Exterior Maintenance, Front Yard Landscaping, Pool, Sewer, Trash",No,No,—,Condo/Co-op,1985,Washington County,No,"Deeded, Off Street",Yes,
7175 SW Sagert St #106,https://www.redfin.com/OR/Tualatin/7175-SW-Sagert-St-97062/unit-106/home/26709054,"$295,000",2,2.5,"1,129",1,Attached,1,Electricity,,,,Composition,—,Residential,485,No,1996,Electricity,"Exterior Maintenance, Gym, Internet, Party Room, Pool, Sewer, Trash",No,No,—,Condo/Co-op,1996,Washington County,No,"Driveway, On Street",Yes,
8755 SW Tachi Ct,https://www.redfin.com/OR/Tualatin/8755-SW-Tachi-Ct-97062/home/26560074,"$640,000",3,2,"1,703",2,Attached,2,Gas,Yes,1,"Crawl Space, Finished",Composition,"8,276 square feet",Residential,518,No,1993,Gas,Public Sewer,Yes,No,—,Single Family Residential,1993,Washington County,No,,,"8,276"
23089 SW 89th Ave,https://www.redfin.com/OR/Tualatin/23089-SW-89th-Ave-97062/home/188818773,"$639,900",4,2,"1,946",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"5,227 square feet",Residential,"1,946",No,2023,Gas,Public Sewer,Yes,No,—,Single Family Residential,2023,Washington County,Yes,Driveway,Yes,
8720 SW Tualatin Rd #120,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-120/home/26710252,"$265,000",2,2,"1,022",1,Deeded,1,Electricity,Yes,1,,Flat,—,Residential,"1,022",No,1987,Electricity,"All Landscaping, Exterior Maintenance, Gym, Management, Pool, Sewer, Trash, Water",No,No,—,Condo/Co-op,1990,Washington County,No,"Deeded, Secured",Yes,
10950 SW Bannoch St,https://www.redfin.com/OR/Tualatin/10950-SW-Bannoch-St-97062/home/26708707,"$675,000",4,2.5,"2,516",3,Attached,3,Gas,Yes,1,Crawl Space,Composition,"8,276 square feet",Residential,"1,250",No,1994,Gas,Public Sewer,Yes,No,—,Single Family Residential,1999,Washington County,No,Off Street,,"8,276"
9600 SW Alabama St,https://www.redfin.com/OR/Tualatin/9600-SW-Alabama-St-97062/home/25809058,"$1,000,000",4,3,"3,100",4,"Attached, Oversized",4,Gas,Yes,3,Crawl Space,Composition,0.26 acres,Residential,"2,500",No,2015,Gas,Public Sewer,Yes,No,—,Single Family Residential,2015,Washington County,No,"Driveway, RV Access/Parking",,"11,325"
22345 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22345-SW-Mandan-Dr-97062/home/26626183,"$689,532",3,3,"3,230",,,,,,,,Gable/Hip,"10,454 square feet",,,,1998,,,,,—,Single Family Residential,1998,Washington County,,,,
6189 SW Delker Rd,https://www.redfin.com/OR/Tualatin/6189-SW-Delker-Rd-97062/home/165849749,"$1,287,000",4,4.5,"4,220",2,"Attached, Carport, Oversized",2,Gas,Yes,1,"Daylight, Finished, Separate Living Quarters/Apartment/Aux Living Unit",Tile,3.18 acres,Residential,"1,360",Yes,1993,Gas,Standard Septic,Yes,No,2.0,Single Family Residential,—,Clackamas County,No,"Covered, RV Access/Parking",,"138,520"
22066 SW Grahams Ferry Rd Unit B,https://www.redfin.com/OR/Tualatin/22066-SW-Grahams-Ferry-Rd-97062/unit-B/home/26711419,"$396,900",3,2.5,"1,484",1,Attached,1,Gas,,,Crawl Space,Composition,—,Residential,638,No,1999,Gas,"Commons, Exterior Maintenance, Front Yard Landscaping, Insurance, Maintenance Grounds, Management, Sewer, Water",Yes,No,—,Condo/Co-op,1999,Washington County,No,"Driveway, Off Street",Yes,
8444 SW Tygh Loop,https://www.redfin.com/OR/Tualatin/8444-SW-Tygh-Loop-97062/home/26708267,"$580,829",3,2,"1,306",,,,,,,,Gable,0.25 acres,,,,1981,,,,,—,Single Family Residential,1986,Washington County,,,,
8820 SW Puyallup Ln,https://www.redfin.com/OR/Tualatin/8820-SW-Puyallup-LN-97062/home/191067550,"$809,900",5,3,"3,151",3,Tandem,3,Tankless,Yes,1,,Composition,—,Residential,"1,343",Yes,—,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8366 SW Mohawk St SW,https://www.redfin.com/OR/Tualatin/8366-SW-Mohawk-St-97062/home/26689040,"$350,000",2,1,852,1,Deeded,1,Electricity,Yes,1,,Composition,—,Residential,852,No,1980,Electricity,"Cable TV, Commons, Maintenance Grounds, Management, Sewer, Spa/Hot Tub, Trash",Yes,No,—,Condo/Co-op,2000,Washington County,No,"Covered, Off Street",Yes,
9208 SW Sweek Dr,https://www.redfin.com/OR/Tualatin/9208-SW-Sweek-Dr-97062/home/26725499,"$409,000",3,2.5,"1,480",1,Attached,1,"Gas, Tank",Yes,1,Crawl Space,Composition,"3,049 square feet",Residential,804,No,2001,Gas,Public Sewer,Yes,No,—,Single Family Residential,2001,Washington County,No,Driveway,Yes,"3,049"
